LetterPairIndex,Letter Pair,BC1989 SimRate Upper,BC 1989 SimRate Lower,PG 1979 DiffRate Avg,PG1979 RT Avg,KB FeatDist,g1979Confus,ggm1983ConfusA,ggm1983ConfusB,Popp1964ConfusLower,BR1969ConfusLower,BR1968ConfusUpper,Lewand 2000 FreqDiff,Lewand 2000 FreqSum,Lewand FreqDiff/FreqSum,Ordinality Diff,OrdinalitySum,Ordinality Diff/Sum,EaglemanDistances
48,BY,2.08,2.33,4.2,439.5,3.31662479,0.007,0.01,0.015,0,0,1,0.00482,0.03466,0.139065205,23,27,0.851851852,0.87345
49,BZ,2,1.665,4,427,2.828427125,0.01,0.015,0.005,3,1,1,0.01418,0.01566,0.905491699,24,28,0.857142857,0.70896
50,CD,2.83,2.335,1.6,453,1.414213562,0.031,0.01,0.065,0,1,0,0.01471,0.07035,0.20909737,1,7,0.142857143,0.79225
51,CE,2.87,3.125,2.7,445.5,1.414213562,0.0485,0,0.035,5,0,0,0.0992,0.15484,0.640661328,2,8,0.25,0.8255
52,CF,1.875,1.75,3.7,420.5,2,0.0145,0.005,0.01,1,0,0,0.00554,0.0501,0.110578842,3,9,0.333333333,0.79122
53,CG,3.17,2.62,1.2,497,1.414213562,0.121,0.23,0.065,1,0,1,0.00767,0.04797,0.159891599,4,10,0.4,0.74902
54,CH,1.835,2.455,4.4,452.5,2.828427125,0.0005,0.015,0.02,2,0,0,0.03312,0.08876,0.373141055,5,11,0.454545455,0.72458
55,CI,2.08,1.625,3.95,434.5,2,0.0045,0.005,0.01,2,1,0,0.04184,0.09748,0.429216249,6,12,0.5,0.8069
56,CJ,2.455,2.205,2.75,458,1.732050808,0.002,0,0.01,4,0,0,0.02629,0.02935,0.895741056,7,13,0.538461538,0.7665
57,CK,2.08,1.79,3.75,441,2.236067977,0.008,0.005,0.01,1,0,0,0.0201,0.03554,0.565559932,8,14,0.571428571,0.7858
58,CL,2.455,1.29,3.25,442,1.732050808,0.0125,0.02,0.03,0,0,0,0.01243,0.06807,0.182606141,9,15,0.6,0.74548
59,CM,1.915,2.125,4.6,443,2.828427125,0.0005,0,0.03,0,0,0,0.00376,0.05188,0.072474942,10,16,0.625,0.84407
60,CN,1.835,3.29,4.3,440,2.828427125,0.003,0.005,0.02,0,1,0,0.03967,0.09531,0.416220753,11,17,0.647058824,0.77341
61,CO,3.745,3.29,1,464.5,2,0.0395,0.07,0.03,2,2,0,0.04725,0.10289,0.459228302,12,18,0.666666667,0.81676
62,CP,2.205,2.54,3.3,439,2,0.008,0,0.01,0,0,0,0.00853,0.04711,0.181065591,13,19,0.684210526,0.80395
63,CQ,3.29,2.54,1.65,479,2,0.0195,0.035,0.02,1,0,0,0.02687,0.02877,0.933958985,14,20,0.7,0.77
64,CR,2.415,2.875,3.65,435,2.449489743,0.0085,0,0.015,2,0,0,0.03205,0.08769,0.365492074,15,21,0.714285714,0.8423
65,CS,2.665,2.835,2.7,447.5,1.414213562,0.012,0.02,0.02,2,1,0,0.03545,0.09109,0.389175541,16,22,0.727272727,0.71946
66,CT,2.12,2.04,4.25,443,2.236067977,0.0035,0.03,0.01,1,0,0,0.06274,0.11838,0.529988174,17,23,0.739130435,0.80071
67,CU,3.25,3.205,2.35,452,2.449489743,0.003,0.02,0.01,1,0,0,0.00024,0.0554,0.00433213,18,24,0.75,0.71801
68,CV,2.25,2.92,3.05,455.5,2.828427125,0.0035,0.015,0.01,1,0,0,0.01804,0.0376,0.479787234,19,25,0.76,0.7757
69,CW,1.665,2.12,4.5,437,2.828427125,0.0035,0.015,0.015,2,0,0,0.00422,0.05142,0.082069234,20,26,0.769230769,0.8312
70,CX,1.915,1.96,4.5,434,2.828427125,0.0045,0,0.02,3,0,0,0.02632,0.02932,0.897680764,21,27,0.777777778,0.85854
71,CY,2.04,2.37,4.3,459,3,0.002,0,0.005,0,0,0,0.00808,0.04756,0.169890664,22,28,0.785714286,0.66526
